,survived,pclass,age,sibsp,parch,fare,adult_male,alone,female,male,C,Q,S,Cherbourg,Queenstown,Southampton,no,yes,child,man,woman,First,Second,Third
0,False,3,22.0,1,0,7.25,True,False,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1
1,True,1,38.0,1,0,71.2833,False,False,1,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0
2,True,3,26.0,0,0,7.925,False,True,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1
3,True,1,35.0,1,0,53.1,False,False,1,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0
4,False,3,35.0,0,0,8.05,True,True,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1
5,False,3,33.0,0,0,8.4583,True,True,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1
6,False,1,54.0,0,0,51.8625,True,True,0,1,0,0,1,0,0,1,1,0,0,1,0,1,0,0
7,False,3,2.0,3,1,21.075,False,False,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,1
8,True,3,27.0,0,2,11.1333,False,False,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1
9,True,2,14.0,1,0,30.0708,False,False,1,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0
10,True,3,4.0,1,1,16.7,False,False,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1
11,True,1,58.0,0,0,26.55,False,True,1,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0
12,False,3,20.0,0,0,8.05,True,True,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1
13,False,3,39.0,1,5,31.275,True,False,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1
14,False,3,14.0,0,0,7.8542,False,True,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1
15,True,2,55.0,0,0,16.0,False,True,1,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0
16,False,3,2.0,4,1,29.125,False,False,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1
17,True,2,33.0,0,0,13.0,True,True,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0
18,False,3,31.0,1,0,18.0,False,False,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1
19,True,3,32.0,0,0,7.225,False,True,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1
20,False,2,35.0,0,0,26.0,True,True,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0
21,True,2,34.0,0,0,13.0,True,True,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0
22,True,3,15.0,0,0,8.0292,False,True,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1
23,True,1,28.0,0,0,35.5,True,True,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,0
24,False,3,8.0,3,1,21.075,False,False,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1
25,True,3,38.0,1,5,31.3875,False,False,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1
26,False,3,33.0,0,0,7.225,True,True,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1
27,False,1,19.0,3,2,263.0,True,False,0,1,0,0,1,0,0,1,1,0,0,1,0,1,0,0
28,True,3,32.0,0,0,7.8792,False,True,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
29,False,3,33.0,0,0,7.8958,True,True,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1
30,False,1,40.0,0,0,27.7208,True,True,0,1,1,0,0,1,0,0,1,0,0,1,0,1,0,0
31,True,1,32.0,1,0,146.5208,False,False,1,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0
32,True,3,32.0,0,0,7.75,False,True,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
33,False,2,66.0,0,0,10.5,True,True,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0
34,False,1,28.0,1,0,82.1708,True,False,0,1,1,0,0,1,0,0,1,0,0,1,0,1,0,0
35,False,1,42.0,1,0,52.0,True,False,0,1,0,0,1,0,0,1,1,0,0,1,0,1,0,0
36,True,3,33.0,0,0,7.2292,True,True,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1
37,False,3,21.0,0,0,8.05,True,True,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1
38,False,3,18.0,2,0,18.0,False,False,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1
39,True,3,14.0,1,0,11.2417,False,False,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1
40,False,3,40.0,1,0,9.475,False,False,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1
41,False,2,27.0,1,0,21.0,False,False,1,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0
42,False,3,33.0,0,0,7.8958,True,True,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1
43,True,2,3.0,1,2,41.5792,False,False,1,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0
44,True,3,19.0,0,0,7.8792,False,True,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
45,False,3,33.0,0,0,8.05,True,True,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1
46,False,3,33.0,1,0,15.5,True,False,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1
47,True,3,32.0,0,0,7.75,False,True,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
48,False,3,33.0,2,0,21.6792,True,False,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1
49,False,3,18.0,1,0,17.8,False,False,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1
50,False,3,7.0,4,1,39.6875,False,False,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,1
51,False,3,21.0,0,0,7.8,True,True,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1
52,True,1,49.0,1,0,76.7292,False,False,1,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0
53,True,2,29.0,1,0,26.0,False,False,1,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0
54,False,1,65.0,0,1,61.9792,True,False,0,1,1,0,0,1,0,0,1,0,0,1,0,1,0,0
55,True,1,33.0,0,0,35.5,True,True,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,0
56,True,2,21.0,0,0,10.5,False,True,1,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0
57,False,3,28.5,0,0,7.2292,True,True,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1
58,True,2,5.0,1,2,27.75,False,False,1,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0
59,False,3,11.0,5,2,46.9,False,False,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,1
60,False,3,22.0,0,0,7.2292,True,True,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1
62,False,1,45.0,1,0,83.475,True,False,0,1,0,0,1,0,0,1,1,0,0,1,0,1,0,0
63,False,3,4.0,3,2,27.9,False,False,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,1
64,False,1,33.0,0,0,27.7208,True,True,0,1,1,0,0,1,0,0,1,0,0,1,0,1,0,0
65,True,3,33.0,1,1,15.2458,True,False,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1
66,True,2,29.0,0,0,10.5,False,True,1,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0
67,False,3,19.0,0,0,8.1583,True,True,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1
68,True,3,17.0,4,2,7.925,False,False,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1
69,False,3,26.0,2,0,8.6625,True,False,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1
70,False,2,32.0,0,0,10.5,True,True,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0
71,False,3,16.0,5,2,46.9,False,False,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1
72,False,2,21.0,0,0,73.5,True,True,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0
73,False,3,26.0,1,0,14.4542,True,False,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1
74,True,3,32.0,0,0,56.4958,True,True,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,1
75,False,3,25.0,0,0,7.65,True,True,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1
76,False,3,33.0,0,0,7.8958,True,True,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1
77,False,3,33.0,0,0,8.05,True,True,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1
78,True,2,0.83,0,2,29.0,False,False,0,1,0,0,1,0,0,1,0,1,1,0,0,0,1,0
79,True,3,30.0,0,0,12.475,False,True,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1
80,False,3,22.0,0,0,9.0,True,True,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1
81,True,3,29.0,0,0,9.5,True,True,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,1
82,True,3,32.0,0,0,7.7875,False,True,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
83,False,1,28.0,0,0,47.1,True,True,0,1,0,0,1,0,0,1,1,0,0,1,0,1,0,0
84,True,2,17.0,0,0,10.5,False,True,1,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0
85,True,3,33.0,3,0,15.85,False,False,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1
86,False,3,16.0,1,3,34.375,True,False,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1
87,False,3,33.0,0,0,8.05,True,True,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1
88,True,1,23.0,3,2,263.0,False,False,1,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0
89,False,3,24.0,0,0,8.05,True,True,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1
90,False,3,29.0,0,0,8.05,True,True,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1
91,False,3,20.0,0,0,7.8542,True,True,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1
92,False,1,46.0,1,0,61.175,True,False,0,1,0,0,1,0,0,1,1,0,0,1,0,1,0,0
93,False,3,26.0,1,2,20.575,True,False,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1
94,False,3,59.0,0,0,7.25,True,True,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1
95,False,3,33.0,0,0,8.05,True,True,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1
96,False,1,71.0,0,0,34.6542,True,True,0,1,1,0,0,1,0,0,1,0,0,1,0,1,0,0
97,True,1,23.0,0,1,63.3583,True,False,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0
98,True,2,34.0,0,1,23.0,False,False,1,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0
99,False,2,34.0,1,0,26.0,True,False,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0
100,False,3,28.0,0,0,7.8958,False,True,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1
101,False,3,33.0,0,0,7.8958,True,True,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1
102,False,1,21.0,0,1,77.2875,True,False,0,1,0,0,1,0,0,1,1,0,0,1,0,1,0,0
103,False,3,33.0,0,0,8.6542,True,True,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1
104,False,3,37.0,2,0,7.925,True,False,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1
105,False,3,28.0,0,0,7.8958,True,True,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1
106,True,3,21.0,0,0,7.65,False,True,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1
107,True,3,33.0,0,0,7.775,True,True,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,1
108,False,3,38.0,0,0,7.8958,True,True,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1
109,True,3,32.0,1,0,24.15,False,False,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
110,False,1,47.0,0,0,52.0,True,True,0,1,0,0,1,0,0,1,1,0,0,1,0,1,0,0
111,False,3,14.5,1,0,14.4542,False,False,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1
112,False,3,22.0,0,0,8.05,True,True,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1
113,False,3,20.0,1,0,9.825,False,False,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1
114,False,3,17.0,0,0,14.4583,False,True,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1
115,False,3,21.0,0,0,7.925,True,True,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1
116,False,3,70.5,0,0,7.75,True,True,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1
117,False,2,29.0,1,0,21.0,True,False,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0
118,False,1,24.0,0,1,247.5208,True,False,0,1,1,0,0,1,0,0,1,0,0,1,0,1,0,0
119,False,3,2.0,4,2,31.275,False,False,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1
120,False,2,21.0,2,0,73.5,True,False,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0
121,False,3,33.0,0,0,8.05,True,True,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1
122,False,2,32.5,1,0,30.0708,True,False,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0
123,True,2,32.5,0,0,13.0,False,True,1,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0
124,False,1,54.0,0,1,77.2875,True,False,0,1,0,0,1,0,0,1,1,0,0,1,0,1,0,0
125,True,3,12.0,1,0,11.2417,False,False,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,1
126,False,3,33.0,0,0,7.75,True,True,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1
127,True,3,24.0,0,0,7.1417,True,True,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,1
128,True,3,32.0,1,1,22.3583,False,False,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1
129,False,3,45.0,0,0,6.975,True,True,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1
130,False,3,33.0,0,0,7.8958,True,True,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1
131,False,3,20.0,0,0,7.05,True,True,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1
132,False,3,47.0,1,0,14.5,False,False,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1
133,True,2,29.0,1,0,26.0,False,False,1,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0
134,False,2,25.0,0,0,13.0,True,True,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0
135,False,2,23.0,0,0,15.0458,True,True,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0
136,True,1,19.0,0,2,26.2833,False,False,1,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0
137,False,1,37.0,1,0,53.1,True,False,0,1,0,0,1,0,0,1,1,0,0,1,0,1,0,0
138,False,3,16.0,0,0,9.2167,True,True,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1
139,False,1,24.0,0,0,79.2,True,True,0,1,1,0,0,1,0,0,1,0,0,1,0,1,0,0
140,False,3,32.0,0,2,15.2458,False,False,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1
141,True,3,22.0,0,0,7.75,False,True,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1
142,True,3,24.0,1,0,15.85,False,False,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1
143,False,3,19.0,0,0,6.75,True,True,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1
144,False,2,18.0,0,0,11.5,True,True,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0
145,False,2,19.0,1,1,36.75,True,False,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0
146,True,3,27.0,0,0,7.7958,True,True,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,1
147,False,3,9.0,2,2,34.375,False,False,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1
148,False,2,36.5,0,2,26.0,True,False,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0
149,False,2,42.0,0,0,13.0,True,True,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0
150,False,2,51.0,0,0,12.525,True,True,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0
151,True,1,22.0,1,0,66.6,False,False,1,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0
152,False,3,55.5,0,0,8.05,True,True,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1
153,False,3,40.5,0,2,14.5,True,False,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1
154,False,3,33.0,0,0,7.3125,True,True,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1
155,False,1,51.0,0,1,61.3792,True,False,0,1,1,0,0,1,0,0,1,0,0,1,0,1,0,0
156,True,3,16.0,0,0,7.7333,False,True,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
157,False,3,30.0,0,0,8.05,True,True,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1
158,False,3,33.0,0,0,8.6625,True,True,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1
159,False,3,33.0,8,2,69.55,True,False,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1
160,False,3,44.0,0,1,16.1,True,False,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1
161,True,2,40.0,0,0,15.75,False,True,1,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0
162,False,3,26.0,0,0,7.775,True,True,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1
163,False,3,17.0,0,0,8.6625,True,True,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1
164,False,3,1.0,4,1,39.6875,False,False,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,1
165,True,3,9.0,0,2,20.525,False,False,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,1
166,True,1,32.0,0,1,55.0,False,False,1,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0
167,False,3,45.0,1,4,27.9,False,False,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1
168,False,1,33.0,0,0,25.925,True,True,0,1,0,0,1,0,0,1,1,0,0,1,0,1,0,0
169,False,3,28.0,0,0,56.4958,True,True,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1
170,False,1,61.0,0,0,33.5,True,True,0,1,0,0,1,0,0,1,1,0,0,1,0,1,0,0
171,False,3,4.0,4,1,29.125,False,False,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1
172,True,3,1.0,1,1,11.1333,False,False,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1
173,False,3,21.0,0,0,7.925,True,True,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1
174,False,1,56.0,0,0,30.6958,True,True,0,1,1,0,0,1,0,0,1,0,0,1,0,1,0,0
175,False,3,18.0,1,1,7.8542,True,False,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1
176,False,3,33.0,3,1,25.4667,True,False,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1
177,False,1,50.0,0,0,28.7125,False,True,1,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0
178,False,2,30.0,0,0,13.0,True,True,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0
179,False,3,36.0,0,0,0.0,True,True,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1
180,False,3,32.0,8,2,69.55,False,False,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1
181,False,2,33.0,0,0,15.05,True,True,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0
182,False,3,9.0,4,2,31.3875,False,False,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,1
183,True,2,1.0,2,1,39.0,False,False,0,1,0,0,1,0,0,1,0,1,1,0,0,0,1,0
184,True,3,4.0,0,2,22.025,False,False,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1
185,False,1,33.0,0,0,50.0,True,True,0,1,0,0,1,0,0,1,1,0,0,1,0,1,0,0
186,True,3,32.0,1,0,15.5,False,False,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
187,True,1,45.0,0,0,26.55,True,True,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,0
188,False,3,40.0,1,1,15.5,True,False,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1
189,False,3,36.0,0,0,7.8958,True,True,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1
190,True,2,32.0,0,0,13.0,False,True,1,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0
191,False,2,19.0,0,0,13.0,True,True,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0
192,True,3,19.0,1,0,7.8542,False,False,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1
193,True,2,3.0,1,1,26.0,False,False,0,1,0,0,1,0,0,1,0,1,1,0,0,0,1,0
194,True,1,44.0,0,0,27.7208,False,True,1,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0
195,True,1,58.0,0,0,146.5208,False,True,1,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0
196,False,3,33.0,0,0,7.75,True,True,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1
197,False,3,42.0,0,1,8.4042,True,False,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1
198,True,3,32.0,0,0,7.75,False,True,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
199,False,2,24.0,0,0,13.0,False,True,1,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0
200,False,3,28.0,0,0,9.5,True,True,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1
201,False,3,33.0,8,2,69.55,True,False,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1
202,False,3,34.0,0,0,6.4958,True,True,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1
203,False,3,45.5,0,0,7.225,True,True,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1
204,True,3,18.0,0,0,8.05,True,True,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,1
205,False,3,2.0,0,1,10.4625,False,False,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1
206,False,3,32.0,1,0,15.85,True,False,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1
207,True,3,26.0,0,0,18.7875,True,True,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1
208,True,3,16.0,0,0,7.75,False,True,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
209,True,1,40.0,0,0,31.0,True,True,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0
210,False,3,24.0,0,0,7.05,True,True,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1
211,True,2,35.0,0,0,21.0,False,True,1,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0
212,False,3,22.0,0,0,7.25,True,True,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1
213,False,2,30.0,0,0,13.0,True,True,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0
214,False,3,33.0,1,0,7.75,True,False,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1
215,True,1,31.0,1,0,113.275,False,False,1,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0
216,True,3,27.0,0,0,7.925,False,True,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1
217,False,2,42.0,1,0,27.0,True,False,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0
218,True,1,32.0,0,0,76.2917,False,True,1,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0
219,False,2,30.0,0,0,10.5,True,True,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0
220,True,3,16.0,0,0,8.05,True,True,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,1
221,False,2,27.0,0,0,13.0,True,True,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0
